year;areakm;municipality;geocode_ibge;state
2007;1022.48;Acrelândia;1200013;Acre
2008;23.67;Acrelândia;1200013;Acre
2009;12.94;Acrelândia;1200013;Acre
2010;11.33;Acrelândia;1200013;Acre
2011;15.94;Acrelândia;1200013;Acre
2012;4.16;Acrelândia;1200013;Acre
2013;9.48;Acrelândia;1200013;Acre
2014;18.9;Acrelândia;1200013;Acre
2015;14.76;Acrelândia;1200013;Acre
2016;23.81;Acrelândia;1200013;Acre
2017;5.71;Acrelândia;1200013;Acre
2018;21.78;Acrelândia;1200013;Acre
2019;19.89;Acrelândia;1200013;Acre
2020;12.94;Acrelândia;1200013;Acre
2021;38.27;Acrelândia;1200013;Acre
2022;18.5;Acrelândia;1200013;Acre
2023;12.05;Acrelândia;1200013;Acre
2024;9.95;Acrelândia;1200013;Acre
2007;243.29;Assis Brasil;1200054;Acre
2008;3.42;Assis Brasil;1200054;Acre
2009;1.6;Assis Brasil;1200054;Acre
2010;3.77;Assis Brasil;1200054;Acre
2011;2.82;Assis Brasil;1200054;Acre
2012;2.4;Assis Brasil;1200054;Acre
2013;4.8;Assis Brasil;1200054;Acre
2014;7.68;Assis Brasil;1200054;Acre
2015;5.94;Assis Brasil;1200054;Acre
2016;2.89;Assis Brasil;1200054;Acre
2017;6.39;Assis Brasil;1200054;Acre
2018;7.93;Assis Brasil;1200054;Acre
2019;21.14;Assis Brasil;1200054;Acre
2020;18.17;Assis Brasil;1200054;Acre
2021;17.65;Assis Brasil;1200054;Acre
2022;8.46;Assis Brasil;1200054;Acre
2023;7.38;Assis Brasil;1200054;Acre
2024;6.15;Assis Brasil;1200054;Acre
2007;1233.73;Brasiléia;1200104;Acre
2008;12.66;Brasiléia;1200104;Acre
2009;8.22;Brasiléia;1200104;Acre
2010;11.96;Brasiléia;1200104;Acre
2011;14.52;Brasiléia;1200104;Acre
2012;12.89;Brasiléia;1200104;Acre
2013;17.19;Brasiléia;1200104;Acre
2014;33.42;Brasiléia;1200104;Acre
2015;22.06;Brasiléia;1200104;Acre
2016;17.71;Brasiléia;1200104;Acre
2017;23.13;Brasiléia;1200104;Acre
2018;21.09;Brasiléia;1200104;Acre
2019;58.61;Brasiléia;1200104;Acre
2020;40.12;Brasiléia;1200104;Acre
2021;61.2;Brasiléia;1200104;Acre
2022;30.61;Brasiléia;1200104;Acre
2023;22.51;Brasiléia;1200104;Acre
2024;19.11;Brasiléia;1200104;Acre
2007;1128.61;Bujari;1200138;Acre
2008;15.77;Bujari;1200138;Acre
2009;7.62;Bujari;1200138;Acre
2010;8.26;Bujari;1200138;Acre
2011;9.57;Bujari;1200138;Acre
2012;10.11;Bujari;1200138;Acre
2013;8.37;Bujari;1200138;Acre
2014;8.99;Bujari;1200138;Acre
2015;9.36;Bujari;1200138;Acre
2016;17.29;Bujari;1200138;Acre
2017;7.63;Bujari;1200138;Acre
2018;13.71;Bujari;1200138;Acre
2019;26.05;Bujari;1200138;Acre
2020;17.65;Bujari;1200138;Acre
2021;25.8;Bujari;1200138;Acre
2022;37.21;Bujari;1200138;Acre
2023;15.99;Bujari;1200138;Acre
2024;18.79;Bujari;1200138;Acre
2007;819.18;Capixaba;1200179;Acre
2008;8.83;Capixaba;1200179;Acre
2009;3.79;Capixaba;1200179;Acre
2010;3.75;Capixaba;1200179;Acre
2011;9.46;Capixaba;1200179;Acre
2012;15.11;Capixaba;1200179;Acre
2013;5.76;Capixaba;1200179;Acre
2014;9.62;Capixaba;1200179;Acre
2015;6.09;Capixaba;1200179;Acre
2016;16.65;Capixaba;1200179;Acre
2017;11.57;Capixaba;1200179;Acre
2018;10.27;Capixaba;1200179;Acre
2019;27.77;Capixaba;1200179;Acre
2020;18.8;Capixaba;1200179;Acre
2021;29.4;Capixaba;1200179;Acre
2022;31.98;Capixaba;1200179;Acre
2023;12.05;Capixaba;1200179;Acre
2024;6.73;Capixaba;1200179;Acre
2007;939.45;Cruzeiro do Sul;1200203;Acre
2008;11.02;Cruzeiro do Sul;1200203;Acre
2009;4.24;Cruzeiro do Sul;1200203;Acre
2010;22.18;Cruzeiro do Sul;1200203;Acre
2011;12.69;Cruzeiro do Sul;1200203;Acre
2012;9.46;Cruzeiro do Sul;1200203;Acre
2013;5.48;Cruzeiro do Sul;1200203;Acre
2014;10.65;Cruzeiro do Sul;1200203;Acre
2015;3.43;Cruzeiro do Sul;1200203;Acre
2016;9.26;Cruzeiro do Sul;1200203;Acre
